Log_ID;Log_Date;Log_Level;Log_Source;User;Controller;Action;Log_Message;Exception
10998083;2026-05-07 23:50:16.833;ERROR;BizSMS.Helpers.Logger;;Error;Http400;Not Found;
10998082;2026-05-07 23:50:16.830;INFO;BizSMS.Helpers.Logger;;Error;Http400;Default logging;
10998081;2026-05-07 23:50:16.823;ERROR;BizSMS.Helpers.Logger;; ; ;A potentially dangerous Request.Path value was detected from the client (?).;
10998080;2026-05-07 23:50:12.573;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998079;2026-05-07 23:50:12.570;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998078;2026-05-07 23:50:12.567;ERROR;BizSMS.Helpers.Logger;;login;Login;The controller for path '/login/' was not found or does not implement IController.;
10998077;2026-05-07 23:50:05.887;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998076;2026-05-07 23:50:05.880;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998075;2026-05-07 23:50:05.877;ERROR;BizSMS.Helpers.Logger;;Login.aspx;Login;The controller for path '/Login.aspx' was not found or does not implement IController.;
10998074;2026-05-07 23:48:35.203;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998073;2026-05-07 23:48:35.203;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998072;2026-05-07 23:48:35.200;ERROR;BizSMS.Helpers.Logger;;uploadimage;Login;The controller for path '/uploadimage' was not found or does not implement IController.;
10998071;2026-05-07 23:48:25.113;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998070;2026-05-07 23:48:09.303;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998069;2026-05-07 23:48:09.300;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998068;2026-05-07 23:48:09.293;ERROR;BizSMS.Helpers.Logger;;secserver;Login;The controller for path '/secserver/' was not found or does not implement IController.;
10998067;2026-05-07 23:48:00.320;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998066;2026-05-07 23:48:00.320;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998065;2026-05-07 23:48:00.313;ERROR;BizSMS.Helpers.Logger;;secserver;Login;The controller for path '/secserver/' was not found or does not implement IController.;
10998064;2026-05-07 23:48:00.277;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
